entertainment n.娱乐（活动）；招待
concise adj.简洁的；简明的
efficiency n.功效；效能
fundamental adj.基础的；根本的；主要的；至关重要的
forecast n.预报，预测
hate n.憎恨，厌恶
shabby adj.破旧的；不公正的
moan v.呻吟；抱怨；（风）发出萧萧声
fabric n.织物，布料；基本结构
skilled adj.熟练的；有技巧的；需要技巧的
Celsius n.摄氏度
necessity n.必需品；必然性；需要；必然
from prep.从，来自，由…
lash v.鞭打；猛击；怒斥；捆绑；甩动
flaw n.错误；缺陷；瑕疵；毛病
selfish adj.自私的
throat n.咽喉，喉咙
chunk n.相当大的数量；大块；知识块
foolish adj.愚蠢的；出丑的
source n.（消息）来源，出处；根源
helicopter n.直升机
intelligence n.智力；智能；情报；情报人员（或机构）
balcony n.阳台；（剧院的）楼座
least adj.最小的；最少的；最不重要的
desirable adj.可取的；值得要的；性感的
sarcastic adj.讽刺的
outer adj.外表的，外面的，远离中心的
candy n.糖果
century n.世纪，百年
offspring n.子女；后代；幼崽；幼苗
chew v.咀嚼；咬
generate v.生成，产生（能量）；引起
acquisition n.获得，习得；收购（物）
blanket n.毛毯，毯子；覆盖物，覆盖层
architect n.建筑师，设计师；缔造者
clash n.打斗，冲突；争论；撞击声；差异；撞期
crime n.犯罪行为；罪过
whose pron.谁的
diamond adj.钻石的，镶有钻石的，菱形的
expert n.专家，行家
heart n.心脏；内心；重点；（地方的）中心；爱心形
nine num.九
industrialize v.使工业化
manifest v.表明；显现
affair n.事情，事件；风流韵事
lodge v.（向当局）正式提出；借宿；为…提供住宿；（被）卡住；存放
grain n.谷物；粮食；颗粒；少量；纹理
strip n.（纸、织物等）条，带；狭长地带
production n.生产，制造；产量；产生
cope v.对付，应付
natural adj.自然的；正常的；天生的
dilute v.稀释；削弱；降低
identity n.身份；特性；一致
current n.（水、气、电）流；潮流
rebel n.叛乱者；叛逆者
dinosaur n.恐龙；过时的人或事物
guide n.指南，手册；导游；指导的事物
consent n.同意；赞成；正式批文
e-mail n.电子邮件
eject v.逐出，赶出；弹出；喷出
folk n.人们；普通百姓
plug n.插头，插座；塞子
rely v.依赖；信任
trolley n.手推车；有轨电车
leisure n.休闲；空闲
background n.背景；幕后；底色
science n.科学；理科；学科
feather n.羽毛
amiable adj.和蔼可亲的，友好的
reclaim v.开垦；感化；取回
insurance n.保险；安全保障
tomato n.西红柿，番茄
coke n.可口可乐；焦炭；可卡因
thorn n.荆棘；棘手的东西
handy adj.易使用的，便利的；手边的；手巧的
factor n.因素；要素；系数
porch n.门廊；走廊
disorder n.杂乱；骚乱；（身体）失调；（精神）失常
tiny adj.极小的，微量的
static adj.静止的，静态的
bolt n.门闩，螺栓；一道（闪电）
automobile n.汽车
discharge v.允许离开；排出；解雇；放电
wash v.洗涤；洗漱；流动
pamphlet n.小册子
postman n.邮递员
correspondence n.通信联系；来往信件；相关
invoke v.援引；唤起；调用
already adv.已经；早已
identify v.认出；确认；指认；发现；显示身份
excursion n.远足；涉足
factory n.工厂
parent n.父母；母公司
rude adj.粗鲁的；下流的；简陋的
complaint n.抱怨；投诉；（不严重的）疾病
protest v.抗议；反对；异议；争辩
original adj.原来的；开始的；独创的；原作的
fourteen num.十四
gown n.女式礼服；长袍；罩衣
bias n.偏袒，偏见
strong adj.强的；健壮的；强烈的
evolve v.逐步发展（演变）；（动植物等）进化
agony n.极度痛苦
door n.门
veil n.面纱，面罩；掩饰
enclose v.围起；把…放入信封
engage v.吸引住；订婚；参加；卷入；与…有密切关系；与（某人）交战
consensus n.一致的意见；共识
scramble v.攀登；争夺；艰难地完成；扰乱思维
afterward adv.之后，后来
television n.电视（节目）
abandon v.遗弃；（不得已）舍弃；中止；沉湎于（情感）
register v.登记，注册；发表意见；显示；流露出；注意到；挂号邮寄
sure adj.确信；确切的；一定（会发生）
food n.食物
neutral adj.中立的；模糊的；素净的
bed n.床, (河)床, (海等的)底, 花坛
acclaim v.称赞
rally n.群众大会；拉力赛车；（股价的）止跌回升
dynamic adj.精力充沛的；动态的；力度变化的
birth n.出生；分娩；创始；起源
combine v.使结合；兼备；同时做；协力
voluntary adj.自愿的；志愿的
liability n.责任；义务；债务
one num.一
rouse v.唤醒；使产生兴趣；激起
please int.请
come v.来；到达；行进；发生；变成；处于
mineral n.矿物（质）
nutrition n.营养，滋养；营养的吸收
quarantine n.（为防传染的）隔离期
bibliography n.系列书目，参考书目
acknowledge v.承认；认可；感谢；确认收到
check v.检查；核实；控制；在…上打勾；注意
classical adj.经典的；典型的；（与）古希腊（或古拉丁）有关的
whereas conj.然而，但是；鉴于
sketch n.草图，素描；简述，概要；小品
five num.五
coupon n.优惠券，礼券
exact adj.精确的；严谨的
third ord.第三
late adj.迟到的；接近末期的；已故的
endure v.忍耐；持久，持续
federation n.联邦；联盟
rein n.缰绳；控制，主宰；保护带
disrupt v.扰乱，使中断
pity n.怜悯；同情心；遗憾的事
constrain v.限制；约束；强迫
intrinsic adj.内在的，本质的，固有的
angry adj.愤怒的；红肿的
network n.网络；人际网；广播网
shear v.剪切；剪羊毛；剪头发
corn n.谷物；玉米；鸡眼
edit v.编辑；校订；编撰；剪辑
zeal n.热情，热忱
climb v.攀登，攀爬；升高；增长
oxygen n.氧（气）
graceful adj.优美的，文雅的
overturn v.推翻；使无效；打翻
onto prep.朝；向；面向
joke n.笑话，玩笑
trunk n.树干；行李箱；象鼻；躯干
curious adj.好奇的；稀奇的
fund n.基金，资金；拨款，资助
experience n.经历；经验；体验
crow n.乌鸦；鸡啼
divine adj.神的；天赐的
prospect n.可能性；希望；前景；机会
sing v.唱（歌）；鸣
eleven num.十一
hormone n.荷尔蒙，激素
govern v.统治；控制，支配
protect v.保护；防护
full adj.满的，充满的；吃饱的；（数量）足的
hatch v.孵出；密谋，策划
seventeen num.十七
fold n.褶皱；褶痕；羊圈
reed n.芦苇；簧片
rejoice v.欢庆；高兴
waiter n.（男）服务员
government n.政府；政体；统治
hi int.（用于打招呼）嗨
tube n.管子；管状物；地铁
descend v.下来，下降；降临；堕落；陷入（糟糕境地）
junction n.交叉路口；汇合处
meditation n.沉思，冥想
police n.警方
rapid adj.瞬间的；迅速的
critic n.评论家；批评者
plaintiff n.原告
mixture n.混合；结合体；混合物
transient adj.短暂的；暂住的；临时的
extinct adj.灭绝的；（火山）死的
cloudy adj.多云的；不透明的
cream n.奶油；护肤霜；精华
propose v.提出；提议；打算；求婚
nearby adj.附近的，邻近的
lawyer n.律师
friction n.摩擦（力）；争执
desolate adj.荒无人烟的；孤独寂寞的
denial n.否认，拒绝；剥夺
god n.上帝；神
sweet adj.甜的；芳香的；悦耳的；令人愉快的；可爱的
scarcely adv.刚刚；几乎不
ninety num.九十
bat n.球拍，球棒；蝙蝠
specific adj.确切的；特定的；特有的
tick v.滴答响；打钩号
era n.时代；时期；纪元
hopeful adj.有希望的，乐观的
aerial adj.空中的；航空的
fist n.拳头
reinforce v.加强，加固；加深
fuss v.（为小事）烦恼；过分讲究
worm n.蠕虫，寄生虫；（计算机）蠕虫病毒；懦夫
live v.住；生存；过…样的日子；留存
bronze n.青铜；青铜色
establish v.设立；建立（关系）；证实；使被认可
idiom n.习语
bottom adj.底部的，尽头的
grammar n.语法
conscientious adj.认真的，勤勤恳恳的
bet v.赌博，下赌注；可以肯定
ending n.结局；结束；最后部分；词尾
variance n.变化幅度，差额；不一致；方差
tumour n.肿瘤，肿块
pray v.祈祷；祷告；企盼
suspicion n.怀疑；猜疑；猜想
province n.省；范围，领域
spontaneous adj.自发的；自然的
anyhow adv.不管怎样；马虎随便地
naked adj.裸体的；无遮蔽的；无掩饰的
tent n.帐篷
tail n.尾巴；尾部；盯梢人
understanding adj.善解人意的，体谅人的
curb v.抑制，约束
fill v.（使）充满；堵住；满足；布满
audit v.审计；旁听
Wednesday n.星期三
drive v.驾驶；迫使
adequate adj.足够的，合乎需求的
harvest n.收获（季节）；收成
tall adj.高的；有…高
missionary n.传教士
October n.十月
compute v.估计；计算
thumb n.拇指；（手套的）拇指部分
swing v.摇摆；转弯；朝…打去；使改变（意见等）
concession n.让步；给予；准予；特许权；摊位
impact n.显著影响；冲击，碰撞
journalist n.记者
curiosity n.好奇心；珍品
mail n.邮件；电子邮件；邮报
select v.选择，挑选
admission n.准许加入；入场费；承认
internal adj.内部的；体内的；国内的
rest n.其他，其余部分；休息时间
childhood n.童年
deposit v.放置；存钱；支付（定金、保证金等）；使沉积
purple adj.紫色的
ready adj.准备好的；愿意的
anticipate v.预料；预见；早于…行动
happy adj.高兴的；幸福的；满意的；乐意做某事的；幸运的
crush v.压碎；把…挤进（狭小空间）；镇压；击垮
demand v.坚持要；要求；逼问
sky n.天空
lake n.湖，湖泊
supervise v.监督，指导，主管
hasty adj.匆忙的，仓促的；草率的
rational adj.合理的，理性的；（人）理智的
chaos n.混乱，紊乱
fact n.现实，实际情况；真相
soon adv.很快；不久；早
limited adj.有限的；受…限制的
orderly adj.有条理的；守秩序的
daunting adj.令人畏惧的
side adj.旁边的；次要的
brief adj.简洁的；短暂的
seal v.密封；封住；确定
embarrass v.使尴尬，使难堪
wisdom n.智慧；才智；明智
appoint v.任命，委派；确定（时间、地点）
shell n.壳；框架；炮弹
spear n.矛，枪；嫩芽
agriculture n.农业，农学
smooth adj.光滑的；顺利的；流畅的
vast adj.巨大的，广阔的，庞大的
compress v.压缩；精简，浓缩
swim n.游泳
paradigm n.典范；范例
debt n.债务；负债状态；恩情
capable adj.有才干的，能胜任的
rain n.雨，雨水
stair n.梯阶；楼梯
theoretical adj.理论（上）的
historical adj.（有关）历史的；属于过去的
alarm n.闹钟；警报；恐慌
global adj.全世界的；整体的；全面的
loop n.环，圈；环状物
living adj.活的；在使用的
lofty adj.高耸的；崇高的；傲慢的
whereby adv.凭此；借以
barber n.（为男子服务的）理发师；理发店
sample n.样本，样品；（化验的）试样
wrap v.包，裹；覆盖
towel n.毛巾，抹布
rust n.铁锈
blood n.血；血统；家世
qualify v.有资格；合适；配得上
mortgage v.抵押（房产）
speculate v.推测，猜测；投机
escalate v.（使）快速增长；（使）加剧
beloved adj.钟爱的；敬爱的
breach n.违背；辜负；（关系）中止；缺口
appointment n.预约；任命；约定
spot n.斑点；污渍；场所；疹子
everyone pron.人人，所有人，每人
spare adj.多余的；备用的；空闲的
terrify v.使恐惧，使害怕
historic adj.历史上重大的；历史性的
next adj.下一个的；紧接着的
southwest adj.西南的
chill v.使变冷；（使）冷却；惊吓；放松
ribbon n.带子；带状物；绶带；（blue-ribbon）最佳的
ascend v.上升；攀登
dilemma n.进退两难的窘境
cross adj.愤怒的，生气的
swift adj.迅速的；敏捷的
successor n.接替者，继任者
useful adj.有用的
tax v.对…征税
bake v.烤，烘焙；烤硬；受晒
book n.书；本子；册，卷
crisp adj.脆的；酥脆的；清脆悦耳的；洁净的；凉爽的
hop v.跳跃；换来换去；登上（交通工具）；快速去
mature adj.成熟的；深思熟虑的
savage adj.凶恶的；猛烈抨击的；未开化的；野蛮的
summer n.夏季
promise v.承诺；预示，很有可能
welcome adj.受欢迎的
seat n.座位；席位；所在地
distinguish v.辨别，区分；分清；使有别于；使著名
budget n.预算；专款
